textid,Words (split by space),anger,disgust,fear,joy,sad,surprise
1,senator carl krueger thinks ipods can kill you,0.137876,0.09415,0.209857,0.0759433,0.228084,0.25409
2,who is prince frederic von anhalt,0.0635873,0.0894444,0.185785,0.211502,0.164826,0.284855
3,prestige has magic touch,0.0527588,0.0480311,0.19865,0.222539,0.163395,0.314627
4,study female seals picky about mates,0.0617809,0.0785137,0.185362,0.22741,0.0933868,0.353547
5,no e book for harry potter vii,0.0821315,0.0579607,0.165413,0.289569,0.174032,0.230893
6,blair apologises over friendly fire inquest,0.13767,0.0468962,0.236441,0.0479116,0.437537,0.0935434
7,vegetables may boost brain power in older adults,4.28E-09,2.24E-09,0.0926,0.4444,1.26E-08,0.463
8,afghan forces retake town that was overrun by taliban,0.125272,0.0788795,0.308633,0.080455,0.217436,0.189324
9,skip the showers male sweat turns women on study says,0.0240369,0.119946,0.0700878,0.17615,0.0276461,0.582133
10,made in china irks some burberry shoppers,0.0498219,0.0559061,0.103697,0.0494131,0.12792,0.613241
11,britain to restrict immigrants from new eu members,0.0752548,0.0120316,0.161994,0.362761,0.123298,0.264661
12,canadian breakthrough offers hope on autism,0.0889197,0.0339962,0.237814,0.254677,0.169088,0.215504
13,russia to strengthen its military muscle,0.153803,0.0607635,0.278995,0.114895,0.16489,0.226654
14,alzheimer s drugs offer no help study finds,0.0696675,0.0432909,0.129217,0.265284,0.12447,0.368071
15,uk police slammed over terror raid,0.157092,0.100324,0.324374,0.121031,0.175844,0.121335
16,no rejects police state claim,0.155351,0.0809044,0.35434,0.136544,0.140287,0.132573
17,oprah announces new book club pick,0.0496334,0.0481926,0.160637,0.402669,0.103553,0.235315
18,smith can t be buried until hearing,0.1235,0.0334333,0.138424,0.163969,0.315461,0.225212
19,african nation hopes whoopi can help,0.0994178,0.0416436,0.214454,0.171617,0.175125,0.297743
20,tourism lags in bush s hometown,0.112208,0.0601194,0.269162,0.226829,0.16119,0.170491
21,air france klm profit rises,0.116366,0.0565077,0.215943,0.277409,0.132022,0.201753
22,au regrets sudan s expulsion of un envoy,0.180548,0.0977508,0.112629,0.107629,0.146282,0.355161
23,taiwan s mr clean indicted steps down,0.0839862,0.0365241,0.240324,0.235359,0.191045,0.212762
24,martian life could have evaded detection by viking landers,0.117612,8.09E-08,0.0588061,2.07E-07,0.117612,0.70597
25,turner pays for boston bombing,0.062118,0.0529074,0.190932,0.264582,0.210006,0.219455
26,serena misses bangalore tournament,0.0791293,0.0774214,0.263311,0.100349,0.213388,0.266401
27,attorneys point fingers in fight between ryan o neal and son,0.115408,0.045562,0.296608,0.173638,0.171556,0.197228
28,pledge i was abused in frat hazing,0.0792849,0.0608428,0.283277,0.159731,0.214265,0.2026
29,whistle blowing web site exposed,0.0974416,0.0970458,0.24331,0.216754,0.135277,0.210172
30,growing unarmed battalion in qaeda army is using internet to get the message out,0.0776459,0.0730547,0.262054,0.199523,0.168317,0.219405
